Child_Name,Ancestor_Name,Edit_Distance,sum
Johanna,Johannes,2,46107
Maria,Mara,1,45486
Johannes,Johanna,2,40386
Marie,Maria,1,32688
Johannes,Johann,2,30930
James,Jane,2,29391
Mary,Maria,2,27744
John,Johann,2,21642
Maria,Mar,2,21240
Jane,James,2,21027
Jess,Jos,2,19626
Mara,Ana,2,18987
Karl,Carl,1,17706
Johanna,Johann,1,17253
Johann,Johannes,2,16350
Martha,Maria,2,15531
Maria,Martha,2,14934
Jane,Ann,2,14862
Elizabeth,Elisabeth,1,14376
Martin,Maria,2,13575
Carl,Karl,1,12432
Jose,Jos,1,12339
Harry,Mary,2,12189
Jan,Jans,1,12174
Mary,Marie,2,11967
Jose,Joseph,2,11961
Maria,Marie,1,11574
Ann,Jane,2,11166
Johanne,Johann,1,10512
May,Mary,1,10425
Jacoba,Jacobus,2,9624
Johanna,Johan,2,9279
Jacobus,Jacoba,2,9015
Annie,Ann,2,8859
Jans,Jan,1,8838
Maria,Mary,2,8829
John,Jean,2,7860
Carl,Mar,2,7344
James,Janet,2,7143
Cornelia,Cornelis,1,7026
Jos,Jess,2,6993
Marie,Mary,2,6912
Louis,Louise,1,6753
Jean,John,2,6621
Johan,Johanna,2,6609
Joanna,Joannes,2,6579
Sophie,Sophia,1,6483
Anna,Anne,1,6318
Elisabeth,Elizabeth,1,6228
Ana,Mara,2,6180
Lillian,William,2,6030
Alexis,Alexius,1,6000
Harry,Henry,2,5784
Heinrich,Henrich,1,5652
Ann,Anne,1,5466
Carl,Lars,2,5436
Jean,Jeanne,2,5394
Anna,Ann,1,5172
Johann,Johanna,1,5127
Johan,Johann,1,5100
Janet,James,2,5097
Louise,Louis,1,5082
Anne,Ann,1,5073
Earl,Mary,2,5052
Ann,Anna,1,4977
Ma,Mara,2,4842
Anne,Anna,1,4830
Rosine,Rosina,1,4824
August,Auguste,1,4797
John,Johan,1,4746
Willie,William,2,4740
Johannes,Joannes,1,4644
Mara,Maria,1,4611
Hendriks,Hindriks,1,4608
Christian,Christiane,1,4602
Mae,Mary,2,4560
Maria,Martin,2,4368
Louise,Luise,1,4269
Joachim,Jochim,1,4251
Martin,Marie,2,4149
Juan,Juana,1,4113
Juana,Juan,1,4074
Christian,Christine,2,4050
Amy,Mary,2,3939
Carl,Mary,2,3903
Antonia,Antonio,1,3882
Marie,Amalie,2,3816
Maud,Mary,2,3789
Cornelis,Cornelia,1,3738
Josefa,Joseph,2,3651
Louisa,Louise,1,3570
Pieter,Pieters,1,3540
Hendriks,Hendrik,1,3531
Hendrina,Hendrik,2,3522
Jacobsson,Jakobsson,1,3516
Jose,Rosa,2,3450
Jacob,Jacobs,1,3435
Jose,Josefa,2,3393
Christian,Christina,2,3351
Heinrich,Hinrich,1,3279
Hendrik,Hendriks,1,3243
Johann,Johan,1,3240
Willemsz,Willem,2,3231
Jane,Anne,2,3228
Albert,Robert,2,3225
Marie,Martin,2,3207
George,Georg,1,3207
Caroline,Carolina,1,3198
Annie,Anna,2,3174
Jeanne,Jean,2,3153
Cornelisz,Cornelis,1,3138
Mary,Carl,2,3123
Peter,Pieter,1,3114
John,Joan,1,3099
Joseph,Josephe,1,3099
Pieter,Pietersz,2,3066
Mauro,Mara,2,3024
Joan,John,1,2991
Josefa,Jose,2,2955
Jacobus,Jacob,2,2949
Anne,Jane,2,2925
Friederich,Friedrich,1,2892
Hans,Lars,2,2874
Andersdatter,Pedersdatter,2,2844
Jan,Johan,2,2835
Frances,Francis,1,2823
Hendrika,Hendrik,1,2823
Josef,Joseph,2,2817
Marina,Mara,2,2814
Pietersz,Pieter,2,2808
Joannes,Joanna,2,2784
Marta,Maria,1,2769
Toms,Jos,2,2733
Anna,Hannah,2,2721
Francis,Frances,1,2712
Christine,Christina,1,2697
Jos,Rosa,2,2673
Ane,Hans,2,2634
Ada,Ann,2,2601
Christine,Christian,2,2601
Cornelius,Cornelis,1,2592
Willems,Willem,1,2586
Francois,Franois,1,2580
Jan,Janna,2,2574
Johan,Jan,2,2538
Paul,Carl,2,2520
Jacobs,Jacob,1,2484
Karl,Lars,2,2484
Hendriks,Hindrik,2,2469
Greta,Brita,2,2412
Jan,Jansz,2,2397
Jos,Toms,2,2382
Anna,Joanna,2,2370
Anne,Jeanne,2,2361
Elizabeth,Elisabetha,2,2358
Franois,Franoise,1,2349
Marie,Maren,2,2331
Joseph,Josephus,2,2325
Eduard,Eduardus,2,2304
Joanna,Anna,2,2289
Jacob,Jacobus,2,2289
Katherine,Catherine,1,2277
Katharina,Catharina,1,2274
Louis,Luise,2,2265
Jensen,Jens,2,2262
John,Jan,2,2253
Mark,Mary,1,2247
Catherine,Catharina,2,2241
Ray,Mary,2,2226
Maria,Sara,2,2178
Klara,Karl,2,2175
Jacob,Jacobsz,2,2133
Jean,Jane,2,2133
Hannah,Anna,2,2124
Cornelis,Cornelisz,1,2115
Heikintytr,Erkintytr,2,2112
Annie,Anne,1,2097
Adriaan,Adriana,2,2058
Georgia,George,2,2058
Francisca,Francisco,1,2058
Joel,John,2,2052
Olsen,Ole,2,2040
Dios,Jos,2,2025
Marie,Marcel,2,2022
Mariana,Maria,2,2019
Georg,George,1,2010
Antonio,Antonia,1,2010
Jane,Janet,1,1992
Theodor,Theodore,1,1989
Hendrik,Hendrika,1,1983
Joseph,Josepha,1,1974
Pieters,Pieter,1,1959
Jos,Ins,2,1929
Marie,Barbe,2,1923
Maurice,Marie,2,1920
Amalia,Maria,2,1905
Wilhelm,Wilhelmus,2,1899
Luise,Louise,1,1884
Gerrit,Gerrits,1,1866
Susan,Susanna,2,1851
Ate,Antje,2,1848
Jos,Jose,1,1848
