Original,Candidate,Edit_Distance,Is_Original_Synonym
Aagaard,Aaagaard,1,0
Aagaard,Aagard,1,1
Aagaard,Agaard,1,0
Aagaard,Agard,2,0
Aagaard,Augeard,2,0
Aagaard,Agardi,3,0
Aagaard,Augarde,3,0
Aagaard,Agreda,5,0
Aakre,Akre,1,1
Aakre,Aaker,2,0
Aakre,Akire,2,0
Aakre,Akra,2,0
Aakre,Akar,3,0
Aakre,Aker,3,0
Aakre,Auker,3,0
Aakre,Akouri,4,0
Aalto,Aaltio,1,0
Aalto,Alto,1,1
Aalto,Aaltie,2,0
Aalto,Alito,2,0
Aalto,Alt,2,0
Aalto,Alta,2,0
Aalto,Alte,2,0
Aalto,Ault,2,0
Aalto,Alet,3,0
Aalto,Aliot,3,0
Aamot,Amat,2,0
Aamot,Amet,2,0
Aamot,Amiot,2,0
Aamot,Amoit,2,0
Aamot,Amati,3,0
Aamot,Amato,3,0
Aamot,Amiet,3,0
Aamot,Amiote,3,0
Aamot,Amta,3,0
Aamot,Amitai,4,0
Aanenson,Aanensen,1,0
Aanenson,Aanonson,1,0
Aanenson,Aanonsen,2,0
Aanenson,Anonson,2,0
Aanenson,Anunson,2,0
Aanenson,Annison,3,0
Aanenson,Anonsen,3,0
Aanenson,Anunsen,3,0
Aanenson,Anoniusen,5,0
Aardema,Aardma,1,0
Aardema,Aardoom,3,0
Aarnes,Aarns,1,0
Aarnes,Aarnus,1,0
Aarnes,Arnes,1,0
Aarnes,Aarens,2,0
Aarnes,Aarons,2,0
Aarnes,Aerns,2,0
Aarnes,Arnese,2,0
Aarnes,Arnos,2,0
Aarnes,Arns,2,0
Aarnes,Arnus,2,0
Aaron,Aron,1,1
Aaron,Aarni,2,0
Aaron,Aran,2,0
Aaron,Aren,2,0
Aaron,Arin,2,0
Aaron,Arion,2,0
Aaron,Arn,2,0
Aaron,Arona,2,0
Aaron,Arone,2,0
Aaron,Arun,2,0
Aase,Aas,1,0
Aase,Aasa,1,0
Aase,Ase,1,0
Aase,Aaos,2,0
Aase,Aias,2,0
Aase,Aiese,2,0
Aase,Ais,2,0
Aase,Aos,2,0
Aase,As,2,0
Aase,Asa,2,0
Aasum,Asam,2,0
Aasum,Aasmaa,3,0
Aasum,Asma,3,0
Aasum,Ausema,3,0
Aasum,Ausma,3,0
Abbe,Abb,1,0
Abbe,Abba,1,0
Abbe,Abbee,1,0
Abbe,Abbie,1,0
Abbey,Abbay,1,0
Abbey,Abby,1,1
Abbey,Abbye,2,0
Abbis,Abbas,1,0
Abbis,Abbes,1,0
Abbis,Abbs,1,0
Abbis,Abbose,2,0
Abbiss,Abbass,1,0
Abbiss,Abbosso,2,0
Abblitt,Abblett,1,1
Abbott,Abbatt,1,0
Abbott,Abbett,1,0
Abbott,Abbitt,1,0
Abbott,Abbatte,2,0
Abbotts,Abbottes,1,0
Abdill,Abadilla,2,0
Abdill,Abdella,2,0
