Original,Candidate,Edit_Distance,Is_Original_Synonym
Aabraham,Abraham,1,0
Aabraham,Abaraham,2,0
Aabraham,Aberaham,2,0
Aabraham,Abrahama,2,0
Aabraham,Abrahame,2,0
Aabraham,Abrahm,2,0
Aabraham,Abreham,2,0
Aabraham,Abrham,2,0
Aabraham,Abriham,2,0
Aabraham,Abarham,3,0
Aada,Aad,1,0
Aada,Aadi,1,0
Aada,Aado,1,0
Aada,Aadu,1,0
Aada,Ada,1,1
Aada,Aeda,1,0
Aada,Aida,1,0
Aada,Auda,1,0
Aada,Ad,2,0
Aada,Adao,2,0
Aadolf,Adolf,1,0
Aadolf,Audolf,1,0
Aadolf,Adolfa,2,0
Aadolf,Adolfe,2,0
Aadolf,Adolfo,2,0
Aadolf,Adoulf,2,0
Aadolf,Adulf,2,0
Aadolf,Audulf,2,0
Aadolf,Adaulf,3,0
Aadolf,Adelfa,3,0
Aaliyah,Aliyah,1,0
Aaliyah,Alyiah,3,0
Aapo,Apo,1,0
Aapo,Ap,2,0
Aapo,Apa,2,0
Aapo,Apai,3,0
Aapo,Apau,3,0
Aapo,Apia,3,0
Aapo,Apie,3,0
Aapo,Apoua,3,0
Aapo,Aupaau,4,0
Aaren,Aarien,1,0
Aaren,Aarin,1,0
Aaren,Aarn,1,0
Aaren,Aaron,1,1
Aaren,Aeren,1,0
Aaren,Aren,1,0
Aaren,Auren,1,0
Aaren,Aarana,2,0
Aaren,Aarne,2,0
Aaren,Aarno,2,0
Aaron,Aaren,1,1
Aaron,Aarin,1,0
Aaron,Aarn,1,0
Aaron,Aarone,1,0
Aaron,Aeron,1,0
Aaron,Aron,1,0
Aaron,Auron,1,0
Aaron,Aarana,2,0
Aaron,Aarien,2,0
Aaron,Aarne,2,0
Aart,Aaert,1,0
Aart,Aarte,1,0
Aart,Aarti,1,0
Aart,Aert,1,0
Aart,Art,1,0
Aart,Aurt,1,0
Aart,Aarati,2,0
Aart,Aartie,2,0
Aart,Araat,2,0
Aart,Arat,2,0
Aarti,Aarati,1,0
Aarti,Aart,1,0
Aarti,Aarte,1,0
Aarti,Aartie,1,0
Aarti,Arti,1,1
Aarti,Aaert,2,0
Aarti,Aert,2,0
Aarti,Aertie,2,0
Aarti,Areti,2,0
Aarti,Art,2,0
Aatu,Aat,1,0
Aatu,Aate,1,0
Aatu,Aati,1,0
Aatu,Atu,1,0
Aatu,Aatie,2,0
Aatu,Aaut,2,0
Aatu,Aet,2,0
Aatu,Aeta,2,0
Aatu,Aete,2,0
Aatu,Ait,2,0
Abbe,Abb,1,0
Abbe,Abba,1,0
