Original,Candidate,Edit_Distance,Is_Original_Synonym
Aabraham,Abraham,1,0
Aabraham,Abrahama,2,0
Aabraham,Abrahame,2,0
Aabraham,Abrahamm,2,0
Aabraham,Abrahamn,2,0
Aabraham,Abrahams,2,0
Aabraham,Abrahan,2,0
Aabraham,Abreham,2,0
Aabraham,Abriham,2,0
Aabraham,Abrahamia,3,0
Aada,Aad,1,0
Aada,Aadi,1,0
Aada,Aado,1,0
Aada,Aadu,1,0
Aada,Ada,1,1
Aada,Adda,1,0
Aada,Aeda,1,0
Aada,Ahda,1,0
Aada,Aida,1,0
Aada,Auda,1,0
Aadolf,Adolf,1,0
Aadolf,Audolf,1,0
Aadolf,Adolfa,2,0
Aadolf,Adolfe,2,0
Aadolf,Adolff,2,0
Aadolf,Adolfo,2,0
Aadolf,Adolfs,2,0
Aadolf,Adoulf,2,0
Aadolf,Adulf,2,0
Aadolf,Audulf,2,0
Aaliyah,Aliyah,1,0
Aaliyah,Aliya,2,0
Aaliyah,Awliya,2,0
Aaliyah,Alaya,3,0
Aaliyah,Aliye,3,0
Aaliyah,Alloys,4,0
Aaliyah,Aloyis,4,0
Aaliyah,Aloyo,4,0
Aaliyah,Aloys,4,0
Aaliyah,Aloyus,4,0
Aapo,Aappo,1,0
Aapo,Apo,1,0
Aapo,Appo,1,0
Aapo,Ap,2,0
Aapo,Apa,2,0
Aapo,App,2,0
Aapo,Appa,2,0
Aapo,Appio,2,0
Aapo,Apps,2,0
Aapo,Appu,2,0
Aaren,Aarens,1,0
Aaren,Aarien,1,0
Aaren,Aarin,1,0
Aaren,Aaron,1,1
Aaren,Aeren,1,0
Aaren,Aren,1,0
Aaren,Arren,1,0
Aaren,Auren,1,0
Aaren,Aarana,2,0
Aaren,Aarone,2,0
Aaron,Aaren,1,1
Aaron,Aarin,1,0
Aaron,Aarone,1,0
Aaron,Aarons,1,0
Aaron,Aarron,1,0
Aaron,Aeron,1,0
Aaron,Ahron,1,0
Aaron,Aron,1,0
Aaron,Arron,1,1
Aaron,Auron,1,0
Aart,Aaert,1,0
Aart,Aant,1,0
Aart,Aard,1,0
Aart,Aert,1,0
Aart,Art,1,0
Aart,Aurt,1,0
Aart,Aad,2,0
Aart,Aada,2,0
Aart,Aadi,2,0
Aart,Aado,2,0
Aarti,Aarte,1,0
Aarti,Aarts,1,0
Aarti,Aartz,1,0
Aarti,Arti,1,1
Aarti,Aartsz,2,0
Aarti,Aerts,2,0
Aarti,Airth,2,0
Aarti,Arta,2,0
Aarti,Arte,2,0
Aarti,Arth,2,0
Aatu,Aat,1,0
Aatu,Aate,1,0
Aatu,Aati,1,0
Aatu,Atu,1,0
Aatu,Aatos,2,0
Aatu,Aatto,2,0
Aatu,Aaut,2,0
Aatu,Aet,2,0
Aatu,Aeta,2,0
Aatu,Aete,2,0
Abbe,Abb,1,0
Abbe,Abba,1,0
Abbe,Abbi,1,0
Abbe,Abbo,1,0
Abbe,Abe,1,0
Abbe,Aebe,1,0
Abbe,Aibe,1,0
Abbe,Ab,2,0
Abbe,Aba,2,0
Abbe,Abah,2,0
Abbey,Abbee,1,0
Abbey,Abby,1,1
Abbey,Abey,1,0
Abbey,Aubey,1,0
Abbey,Aaby,2,0
Abbey,Abbie,2,1
Abbey,Abee,2,0
Abbey,Abhay,2,0
Abbey,Abie,2,0
Abbey,Aby,2,0
Abbi,Abb,1,0
Abbi,Abba,1,0
Abbi,Abbe,1,0
Abbi,Abbia,1,0
Abbi,Abbis,1,0
Abbi,Abbo,1,0
Abbi,Abei,1,0
Abbi,Abi,1,0
Abbi,Aebi,1,0
Abbi,Ab,2,0
Abbie,Abbee,1,0
Abbie,Abbhie,1,0
Abbie,Abie,1,0
Abbie,Aubie,1,0
Abbie,Abbey,2,1
Abbie,Abby,2,1
Abbie,Abee,2,0
Abbie,Abye,2,0
Abbie,Aaby,3,0
Abbie,Abey,3,0
Abby,Aaby,1,0
Abby,Abbey,1,1
Abby,Abey,1,0
Abby,Aby,1,0
Abby,Auby,1,0
Abby,Abbee,2,0
Abby,Abbie,2,1
Abby,Abee,2,0
Abby,Abhay,2,0
Abby,Abie,2,0
Abe,Ab,1,0
Abe,Aba,1,0
Abe,Abb,1,0
Abe,Abbe,1,0
Abe,Abea,1,0
Abe,Abei,1,0
Abe,Abes,1,0
Abe,Abi,1,0
Abe,Abo,1,0
Abe,Abs,1,0
Abegail,Abagail,1,0
Abegail,Abbegail,1,0
Abegail,Abegaile,1,0
Abegail,Abegal,1,0
Abegail,Abigail,1,1
Abegail,Abugail,1,0
Abegail,Abagaile,2,0
Abegail,Abagal,2,0
Abegail,Abagall,2,0
Abegail,Abagil,2,0
Abelone,Abalone,1,0
Abelone,Abbelone,1,0
Abelone,Abelene,1,0
Abelone,Abeline,1,0
Abelone,Abellone,1,0
Abelone,Abelona,1,0
Abelone,Abelune,1,0
Abelone,Abalene,2,0
Abelone,Abaline,2,0
Abelone,Abalona,2,0
Abhijeet,Abhijit,2,1
Abhijeet,Abijet,2,0
Abhijit,Abhijeet,2,1
Abhijit,Abijet,2,0
Abiah,Abah,1,0
Abiah,Abeah,1,0
Abiah,Abia,1,0
Abiah,Abias,1,0
Abiah,Abish,1,0
Abiah,Aboah,1,0
Abiah,Aba,2,0
Abiah,Abaih,2,0
Abiah,Abas,2,0
Abiah,Abaz,2,0
Abigail,Abagail,1,0
Abigail,Abbigail,1,0
Abigail,Abegail,1,1
Abigail,Abigael,1,0
Abigail,Abigaile,1,0
Abigail,Abigaill,1,0
Abigail,Abigal,1,0
Abigail,Abigall,1,0
Abigail,Abiggail,1,0
Abigail,Abigil,1,0
Abijah,Abija,1,0
Abijah,Abijiah,1,0
Abijah,Abijhai,2,0
Abijah,Aabaji,4,0
Abraam,Abraan,1,0
Abraam,Abrahm,1,0
Abraam,Abraim,1,0
Abraam,Abram,1,1
Abraam,Abraum,1,0
Abraam,Abrham,1,0
Abraam,Abriam,1,0
Abraam,Abruam,1,0
Abraam,Aabram,2,0
Abraam,Abrama,2,0
Abraham,Aabraham,1,0
Abraham,Abrahama,1,0
Abraham,Abrahame,1,0
Abraham,Abrahamm,1,0
Abraham,Abrahamn,1,0
Abraham,Abrahams,1,0
Abraham,Abrahan,1,0
Abraham,Abreham,1,0
Abraham,Abriham,1,0
Abraham,Abrahamia,2,0
Abram,Aabram,1,0
Abram,Abraam,1,1
Abram,Abrahm,1,0
Abram,Abraim,1,0
Abram,Abrama,1,0
Abram,Abramo,1,0
Abram,Abrams,1,0
Abram,Abran,1,0
Abram,Abraum,1,0
Abram,Abrem,1,0
Aca,Ac,1,0
Aca,Acc,1,0
Aca,Acca,1,0
Aca,Ace,1,1
Aca,Ach,1,0
Aca,Acha,1,0
Aca,Acia,1,0
Aca,Ack,1,0
Aca,Aka,1,0
Aca,Auca,1,0
Ace,Ac,1,0
Ace,Aca,1,1
Ace,Acc,1,0
Ace,Ach,1,0
Ace,Ache,1,0
Ace,Ack,1,0
Ace,Acke,1,0
Ace,Aice,1,0
Ace,Ake,1,0
Ace,Aake,2,0
Achim,Achin,1,0
Achim,Achan,2,0
Achim,Achen,2,0
Achim,Achini,2,0
Achim,Ahchin,2,0
Achim,Akim,2,0
Achim,Aachan,3,0
Achim,Acan,3,0
Achim,Acena,3,0
Achim,Acenia,3,0
Acke,Aake,1,0
Acke,Ace,1,0
Acke,Ache,1,0
Acke,Ack,1,0
Acke,Ackke,1,0
Acke,Aeke,1,0
Acke,Aicke,1,0
Acke,Aike,1,0
Acke,Ake,1,0
Acke,Akke,1,0
Ada,Aada,1,1
Ada,Ad,1,0
Ada,Adah,1,0
Ada,Adao,1,0
Ada,Adas,1,0
Ada,Add,1,0
Ada,Adda,1,0
Ada,Ade,1,0
Ada,Adea,1,0
Ada,Adha,1,0
Adalbert,Adelbert,1,1
Adalbert,Adolbert,1,0
Adalbert,Adelburt,2,0
Adalhard,Adalard,1,0
Adalhard,Adalhart,1,0
Adalhard,Adalaid,2,0
Adalhard,Adalord,2,0
Adalhard,Adelard,2,0
Adalhard,Adelhaid,2,0
Adalhard,Adelhart,2,0
Adalhard,Adellard,2,0
Adalhard,Adilard,2,0
Adalhard,Adolard,2,0
Adaline,Adaeline,1,0
Adaline,Adalaine,1,0
Adaline,Adalane,1,0
Adaline,Adalene,1,0
Adaline,Adalin,1,0
Adaline,Adalina,1,0
Adaline,Adalline,1,0
Adaline,Addaline,1,0
Adaline,Adealine,1,0
Adaline,Adeline,1,1
Adalyn,Adalyna,1,0
Adalyn,Adalyne,1,0
Adalyn,Adalynn,1,0
Adalyn,Adelyn,1,1
Adalyn,Adelyne,2,0
Adalyn,Adelynn,2,1
Adalyn,Adolyne,2,0
Adalyn,Addielyne,4,0
Adde,Add,1,0
Adde,Adda,1,0
Adde,Addes,1,0
Adde,Addi,1,0
Adde,Addo,1,0
Adde,Adds,1,0
Adde,Ade,1,0
Adde,Aede,1,0
Adde,Aide,1,0
Adde,Aude,1,0
Addie,Addye,1,0
Addie,Adie,1,0
Addie,Aidie,1,0
Addie,Auddie,1,0
Addie,Audie,1,0
Addie,Addey,2,0
Addie,Addy,2,1
Addie,Addys,2,0
Addie,Adee,2,0
Addie,Adye,2,0
Addison,Addeson,1,0
Addison,Addisson,1,0
Addison,Adison,1,0
Addison,Adason,2,0
Addison,Addission,2,0
Addison,Adeson,2,0
Addison,Adasonia,4,0
Addison,Adessian,4,0
Addy,Aday,1,0
Addy,Addey,1,0
Addy,Addye,1,0
Addy,Addys,1,0
Addy,Adey,1,0
Addy,Ady,1,0
Addy,Audy,1,0
Addy,Addie,2,1
Addy,Adee,2,0
Addy,Adie,2,0
Adel,Aadel,1,0
Adel,Adal,1,0
Adel,Addel,1,0
Adel,Adeal,1,0
Adel,Adela,1,0
Adel,Adele,1,0
Adel,Adelh,1,0
Adel,Adeli,1,0
Adel,Adell,1,0
Adel,Adeol,1,0
Adela,Adala,1,0
Adela,Adehla,1,0
Adela,Adeila,1,0
Adela,Adel,1,0
Adela,Adelai,1,0
Adela,Adelas,1,0
Adela,Adele,1,0
Adela,Adelea,1,0
Adela,Adelh,1,0
Adela,Adeli,1,0
Adelaida,Adalaida,1,0
Adelaida,Adelada,1,0
Adelaida,Adelaid,1,0
