Original,Candidate,Edit_Distance,Is_Original_Synonym
Aabraham,Aapraham,1,0
Aabraham,Abraham,1,0
Aabraham,Aabram,2,0
Aabraham,Abaraham,2,0
Aabraham,Aberaham,2,0
Aabraham,Abraam,2,0
Aabraham,Abrahama,2,0
Aabraham,Abrahame,2,0
Aabraham,Abrahamm,2,0
Aabraham,Abrahamn,2,0
Aada,Aad,1,0
Aada,Aadi,1,0
Aada,Aado,1,0
Aada,Aadu,1,0
Aada,Ada,1,1
Aada,Adda,1,0
Aada,Aeda,1,0
Aada,Ahda,1,0
Aada,Aida,1,0
Aada,Auda,1,0
Aadolf,Adolf,1,0
Aadolf,Audolf,1,0
Aadolf,Adolfa,2,0
Aadolf,Adolfe,2,0
Aadolf,Adolff,2,0
Aadolf,Adolfo,2,0
Aadolf,Adolfs,2,0
Aadolf,Adolp,2,0
Aadolf,Adolpf,2,0
Aadolf,Adolv,2,0
Aaliyah,Aliyah,1,0
Aaliyah,Aliah,2,1
Aaliyah,Aliya,2,0
Aaliyah,Alliah,2,0
Aaliyah,Awliya,2,0
Aaliyah,Aali,3,0
Aaliyah,Aelia,3,0
Aaliyah,Ahalya,3,0
Aaliyah,Aholiah,3,0
Aaliyah,Ailia,3,0
Aapo,Aappo,1,0
Aapo,Apo,1,0
Aapo,Appo,1,0
Aapo,Aaby,2,0
Aapo,Aaef,2,0
Aapo,Aaf,2,0
Aapo,Aafa,2,0
Aapo,Aaff,2,0
Aapo,Abbo,2,0
Aapo,Abo,2,0
Aaren,Aarien,1,0
Aaren,Aarin,1,0
Aaren,Aarn,1,0
Aaren,Aaron,1,1
Aaren,Aeren,1,0
Aaren,Aren,1,0
Aaren,Arren,1,0
Aaren,Auren,1,0
Aaren,Aarana,2,0
Aaren,Aarne,2,0
Aaron,Aaren,1,1
Aaron,Aarin,1,0
Aaron,Aarn,1,0
Aaron,Aarone,1,0
Aaron,Aarron,1,0
Aaron,Aeron,1,0
Aaron,Aharon,1,0
Aaron,Ahron,1,0
Aaron,Aron,1,0
Aaron,Arron,1,1
Aart,Aaert,1,0
Aart,Aard,1,0
Aart,Aardt,1,0
Aart,Aarte,1,0
Aart,Aarti,1,0
Aart,Aert,1,0
Aart,Ahart,1,0
Aart,Art,1,0
Aart,Aurt,1,0
Aart,Aarati,2,0
Aarti,Aarati,1,0
Aarti,Aart,1,0
Aarti,Aarte,1,0
Aarti,Aartie,1,0
Aarti,Arti,1,1
Aarti,Aaert,2,0
Aarti,Aarathi,2,0
Aarti,Aard,2,0
Aarti,Aarde,2,0
Aarti,Aardt,2,0
Aatu,Aadu,1,0
Aatu,Aat,1,0
Aatu,Aate,1,0
Aatu,Aati,1,0
Aatu,Atu,1,0
Aatu,Aad,2,0
Aatu,Aada,2,0
Aatu,Aadi,2,0
Aatu,Aado,2,0
Aatu,Aatie,2,0
Abbe,Abb,1,0
Abbe,Abba,1,0
Abbe,Abbee,1,0
Abbe,Abbey,1,0
Abbe,Abbi,1,0
Abbe,Abbie,1,0
Abbe,Abbo,1,0
Abbe,Abby,1,0
Abbe,Abe,1,0
Abbe,Abee,1,0
Abbey,Abbe,1,0
Abbey,Abbee,1,0
Abbey,Abby,1,1
Abbey,Abey,1,0
Abbey,Aubey,1,0
Abbey,Aaby,2,0
Abbey,Abb,2,0
Abbey,Abba,2,0
Abbey,Abbi,2,1
Abbey,Abbia,2,0
Abbi,Abb,1,0
Abbi,Abba,1,0
Abbi,Abbe,1,0
Abbi,Abbia,1,0
Abbi,Abbie,1,1
Abbi,Abbo,1,0
Abbi,Abby,1,1
Abbi,Abei,1,0
Abbi,Abi,1,0
Abbi,Aebi,1,0
Abbie,Abbe,1,0
Abbie,Abbee,1,0
Abbie,Abbhie,1,0
Abbie,Abbi,1,1
Abbie,Abbia,1,0
Abbie,Abie,1,0
Abbie,Abvie,1,0
Abbie,Aubie,1,0
Abbie,Aafie,2,0
Abbie,Abaih,2,0
Abby,Aaby,1,0
Abby,Abb,1,0
Abby,Abba,1,0
Abby,Abbe,1,0
Abby,Abbey,1,1
Abby,Abbi,1,1
Abby,Abbo,1,0
Abby,Abey,1,0
Abby,Aby,1,0
Abby,Auby,1,0
Abe,Ab,1,0
Abe,Aba,1,0
Abe,Abb,1,0
Abe,Abbe,1,0
Abe,Abea,1,0
Abe,Abee,1,0
Abe,Abei,1,0
Abe,Abey,1,0
Abe,Abi,1,0
Abe,Abie,1,0
Abegail,Abagail,1,0
Abegail,Abbegail,1,0
Abegail,Abegaile,1,0
Abegail,Abegal,1,0
Abegail,Abgail,1,0
Abegail,Abigail,1,1
Abegail,Abugail,1,0
Abegail,Abygail,1,0
Abegail,Abagaile,2,0
Abegail,Abagal,2,0
Abelone,Abalone,1,0
Abelone,Abbelone,1,0
Abelone,Abelene,1,0
Abelone,Abeline,1,0
Abelone,Abellone,1,0
Abelone,Abelona,1,0
Abelone,Abelune,1,0
Abelone,Apelone,1,0
Abelone,Abalene,2,0
Abelone,Abaline,2,0
Abhijeet,Abhijit,2,1
Abhijeet,Abijet,2,0
Abhijeet,Abeckett,4,0
Abhijeet,Abekett,4,0
Abhijeet,Abicht,4,0
Abhijeet,Abbester,5,0
Abhijeet,Abuzait,5,0
Abhijeet,Afesta,6,0
Abhijeet,Apostle,6,0
Abhijeet,Apzeta,6,0
Abhijit,Abhijeet,2,1
Abhijit,Abijet,2,0
Abhijit,Abicht,3,0
Abhijit,Abuzait,3,0
Abhijit,Abekett,4,0
Abhijit,Abeckett,5,0
Abhijit,Avista,5,0
Abhijit,Abbester,6,0
Abhijit,Afesta,6,0
Abhijit,Apostl,6,0
Abiah,Abah,1,0
Abiah,Abeah,1,0
Abiah,Abia,1,0
Abiah,Aboah,1,0
Abiah,Abyah,1,0
Abiah,Apiah,1,0
Abiah,Aba,2,0
Abiah,Abaih,2,0
Abiah,Abba,2,0
Abiah,Abbia,2,0
Abigail,Abagail,1,0
Abigail,Abbigail,1,0
Abigail,Abegail,1,1
Abigail,Abgail,1,0
Abigail,Abigael,1,0
Abigail,Abigaile,1,0
Abigail,Abigaill,1,0
Abigail,Abigal,1,0
Abigail,Abigall,1,0
Abigail,Abiggail,1,0
Abigayle,Abigaile,1,0
Abigayle,Abigale,1,0
Abigayle,Abagaile,2,0
Abigayle,Abagalle,2,0
Abigayle,Abagyle,2,0
Abigayle,Abbigale,2,0
Abigayle,Abegaile,2,0
Abigayle,Abegale,2,0
Abigayle,Abigael,2,0
Abigayle,Abigaell,2,0
Abijah,Abigah,1,0
Abijah,Abija,1,0
Abijah,Abijch,1,0
Abijah,Abijiah,1,0
Abijah,Abias,2,0
Abijah,Abiga,2,0
Abijah,Abigai,2,0
Abijah,Abigh,2,0
Abijah,Abigiah,2,0
Abijah,Abijhai,2,0
Abraam,Abraan,1,0
Abraam,Abraham,1,0
Abraam,Abrahm,1,0
Abraam,Abraim,1,0
Abraam,Abram,1,1
Abraam,Abraum,1,0
Abraam,Abrham,1,0
Abraam,Abriam,1,0
Abraam,Abruam,1,0
Abraam,Avraam,1,0
Abraham,Aabraham,1,0
Abraham,Abaraham,1,0
Abraham,Aberaham,1,0
Abraham,Abraam,1,0
Abraham,Abrahama,1,0
Abraham,Abrahame,1,0
Abraham,Abrahamm,1,0
Abraham,Abrahamn,1,0
Abraham,Abrahams,1,0
Abraham,Abrahan,1,0
Abram,Aabram,1,0
Abram,Aberam,1,0
Abram,Abiram,1,0
Abram,Abraam,1,1
Abram,Abrahm,1,0
Abram,Abraim,1,0
Abram,Abrama,1,0
Abram,Abramj,1,0
Abram,Abramo,1,0
Abram,Abrams,1,0
Aca,Ac,1,0
Aca,Acc,1,0
Aca,Acca,1,0
Aca,Ace,1,1
Aca,Ach,1,0
Aca,Acha,1,0
Aca,Acia,1,0
Aca,Ack,1,0
Aca,Acy,1,0
Aca,Aga,1,0
Ace,Ac,1,0
Ace,Aca,1,1
Ace,Acc,1,0
Ace,Acee,1,0
Ace,Acey,1,0
Ace,Ach,1,0
Ace,Ache,1,0
Ace,Acie,1,0
Ace,Ack,1,0
Ace,Acke,1,0
Achim,Achin,1,0
Achim,Achan,2,0
Achim,Achen,2,0
Achim,Achini,2,0
Achim,Ahchin,2,0
Achim,Akim,2,0
Achim,Ashima,2,0
Achim,Ashum,2,0
Achim,Asim,2,0
Achim,Axham,2,0
Acke,Aake,1,0
Acke,Ace,1,0
Acke,Acee,1,0
Acke,Ache,1,0
Acke,Acie,1,0
Acke,Ack,1,0
Acke,Ackey,1,0
Acke,Ackie,1,0
Acke,Ackke,1,0
Acke,Ackwe,1,0
Ada,Aada,1,1
Ada,Ad,1,0
Ada,Adah,1,0
Ada,Adao,1,0
Ada,Aday,1,0
Ada,Add,1,0
Ada,Adda,1,0
Ada,Ade,1,0
Ada,Adea,1,0
Ada,Adha,1,0
Adalbert,Adalbero,1,0
Adalbert,Adalberta,1,0
Adalbert,Adalberth,1,0
Adalbert,Adalberti,1,0
Adalbert,Adalberto,1,0
Adalbert,Adelbert,1,1
Adalbert,Adolbert,1,0
Adalbert,Adalbertum,2,0
Adalbert,Adalbertus,2,0
Adalbert,Adalverto,2,0
Adalhard,Adalard,1,0
Adalhard,Adalhart,1,0
Adalhard,Adalord,2,0
Adalhard,Adelard,2,0
Adalhard,Adelhart,2,0
Adalhard,Adellard,2,0
Adalhard,Adilard,2,0
Adalhard,Adlard,2,0
Adalhard,Adolard,2,0
Adalhard,Adalor,3,0
Adaline,Adaeline,1,0
Adaline,Adalaine,1,0
Adaline,Adalane,1,0
Adaline,Adalene,1,0
Adaline,Adalin,1,0
Adaline,Adalina,1,0
Adaline,Adalind,1,0
Adaline,Adalline,1,0
Adaline,Adalyne,1,0
Adaline,Addaline,1,0
Adalyn,Adalin,1,0
Adalyn,Adalyna,1,0
Adalyn,Adalyne,1,0
Adalyn,Adalynn,1,0
Adalyn,Adelyn,1,1
Adalyn,Adlyn,1,0
Adalyn,Adalain,2,0
Adalyn,Adalane,2,0
Adalyn,Adaleen,2,0
Adalyn,Adalein,2,0
Adde,Add,1,0
Adde,Adda,1,0
Adde,Addey,1,0
Adde,Addi,1,0
Adde,Addie,1,0
Adde,Addo,1,0
Adde,Addy,1,0
Adde,Addye,1,0
Adde,Ade,1,0
Adde,Adee,1,0
Addie,Adde,1,0
Addie,Addi,1,0
Addie,Addia,1,0
Addie,Addye,1,0
Addie,Adie,1,0
Addie,Aidie,1,0
Addie,Auddie,1,0
Addie,Audie,1,0
Addie,Aadi,2,0
Addie,Aatie,2,0
Addison,Addeson,1,0
Addison,Addisson,1,0
Addison,Addisyn,1,0
Addison,Addyson,1,1
Addison,Adison,1,0
Addison,Aadson,2,0
Addison,Adason,2,0
Addison,Addism,2,0
Addison,Addission,2,0
Addison,Adeson,2,0
Addy,Aday,1,0
Addy,Add,1,0
Addy,Adda,1,0
Addy,Adde,1,0
Addy,Addey,1,0
Addy,Addi,1,0
Addy,Addo,1,0
Addy,Addye,1,0
Addy,Adey,1,0
Addy,Ady,1,0
Addyson,Addeson,1,0
Addyson,Addison,1,1
Addyson,Aadson,2,0
Addyson,Adason,2,0
Addyson,Addisson,2,0
Addyson,Addisyn,2,0
Addyson,Adeson,2,0
Addyson,Adison,2,0
Addyson,Adson,2,0
Addyson,Addism,3,0
Adel,Aadel,1,0
Adel,Adal,1,0
Adel,Addel,1,0
Adel,Adeal,1,0
Adel,Adela,1,0
Adel,Adele,1,0
Adel,Adelh,1,0
Adel,Adeli,1,0
Adel,Adell,1,0
Adel,Adely,1,0
Adela,Adala,1,0
Adela,Addla,1,0
Adela,Adehla,1,0
Adela,Adeila,1,0
Adela,Adel,1,0
Adela,Adelai,1,0
Adela,Adele,1,0
Adela,Adelea,1,0
Adela,Adelh,1,0
Adela,Adeli,1,0
Adelaida,Adalaida,1,0
Adelaida,Adelada,1,0
Adelaida,Adelaid,1,0
Adelaida,Adelaide,1,0
Adelaida,Adelaido,1,0
Adelaida,Adelayda,1,0
Adelaida,Adeleida,1,0
Adelaida,Adelida,1,0
Adelaida,Adlaida,1,0
Adelaida,Adalaid,2,0
Adelaide,Adalaide,1,0
Adelaide,Addelaide,1,0
Adelaide,Adelade,1,0
Adelaide,Adelaid,1,0
Adelaide,Adelaida,1,0
Adelaide,Adelaido,1,0
Adelaide,Adeleide,1,0
Adelaide,Adelhaide,1,0
Adelaide,Adelhide,1,0
Adelaide,Adelide,1,0
Adelais,Adalais,1,0
Adelais,Adelaise,1,0
Adelais,Adelas,1,0
Adelais,Adelgis,1,0
Adelais,Adelis,1,0
Adelais,Adalas,2,0
Adelais,Adelago,2,0
Adelais,Adelaice,2,0
Adelais,Adelasia,2,0
Adelais,Adelchis,2,0
Adelajda,Adelhjda,1,0
Adelajda,Adelasia,2,0
Adelajda,Adelija,2,0
Adelajda,Adelja,2,0
Adelajda,Adalaska,3,0
Adelajda,Adelago,3,0
Adelajda,Adelaice,3,0
Adelajda,Adelais,3,0
Adelajda,Adelaise,3,0
Adelajda,Adelas,3,0
Adelbert,Adalbert,1,1
Adelbert,Adelberte,1,0
Adelbert,Adelberth,1,0
Adelbert,Adelberti,1,0
Adelbert,Adelberto,1,0
Adelbert,Adelbmert,1,0
Adelbert,Adelburt,1,0
Adelbert,Adelvert,1,0
Adelbert,Adolbert,1,0
Adelbert,Adalbero,2,0
Adele,Adale,1,0
Adele,Adel,1,0
Adele,Adela,1,0
Adele,Adelea,1,0
Adele,Adelee,1,0
Adele,Adelh,1,0
Adele,Adeli,1,0
Adele,Adelie,1,0
Adele,Adell,1,0
Adele,Adelle,1,1
Adelheid,Adeleheid,1,0
Adelheid,Adeleid,1,0
Adelheid,Adelhaid,1,0
Adelheid,Adelhed,1,0
Adelheid,Adelheida,1,0
Adelheid,Adelheide,1,0
Adelheid,Adelheidt,1,0
Adelheid,Adelheit,1,0
Adelheid,Adelheyd,1,0
Adelheid,Adellheid,1,0
Adelia,Adalia,1,0
Adelia,Addelia,1,0
Adelia,Adealia,1,0
Adelia,Adeilia,1,0
Adelia,Adela,1,1
Adelia,Adelea,1,0
Adelia,Adeli,1,0
Adelia,Adeliah,1,0
Adelia,Adelie,1,0
Adelia,Adelio,1,0
Adelina,Adalina,1,0
Adelina,Addelina,1,0
Adelina,Adelana,1,0
Adelina,Adelena,1,0
Adelina,Adelima,1,0
Adelina,Adelin,1,0
Adelina,Adelinda,1,0
Adelina,Adeline,1,0
Adelina,Adeling,1,0
Adelina,Adelinia,1,0
Adeline,Adaeline,1,0
Adeline,Adaline,1,1
Adeline,Addeline,1,0
Adeline,Addline,1,0
Adeline,Adealine,1,0
Adeline,Adelaine,1,0
Adeline,Adelane,1,0
Adeline,Adeleine,1,0
Adeline,Adelene,1,0
Adeline,Adeliane,1,0
Adelita,Adeleita,1,0
Adelita,Adelida,1,0
Adelita,Adelite,1,0
Adelita,Adelith,1,0
Adelita,Adelito,1,0
Adelita,Adelta,1,0
Adelita,Adelada,2,0
Adelita,Adelaida,2,0
Adelita,Adelate,2,0
Adelita,Adeleida,2,0
Adella,Adalla,1,0
Adella,Addella,1,0
Adella,Adehla,1,0
Adella,Adeila,1,0
Adella,Adeilla,1,0
Adella,Adela,1,1
Adella,Adelea,1,0
Adella,Adelia,1,1
Adella,Adell,1,0
Adella,Adellah,1,0
Adelle,Adele,1,1
Adelle,Adelee,1,0
Adelle,Adelie,1,0
Adelle,Adell,1,0
Adelle,Adella,1,0
Adelle,Adellie,1,0
Adelle,Adelly,1,0
Adelle,Adeole,1,0
Adelle,Adielle,1,0
Adelle,Adille,1,0
Adelmar,Adelma,1,0
Adelmar,Adelman,1,0
Adelmar,Adelmer,1,0
Adelmar,Adhelmar,1,0
Adelmar,Adelamer,2,0
Adelmar,Adelean,2,0
Adelmar,Adeliam,2,0
Adelmar,Adelian,2,0
Adelmar,Adelima,2,0
Adelmar,Adellam,2,0
Adelyn,Adalyn,1,1
Adelyn,Adelen,1,0
Adelyn,Adelin,1,0
Adelyn,Adelon,1,0
Adelyn,Adelun,1,0
Adelyn,Adelyan,1,0
Adelyn,Adelyne,1,0
Adelyn,Adelynn,1,1
Adelyn,Adlyn,1,0
Adelyn,Adalin,2,0
Adelynn,Adalynn,1,0
Adelynn,Adelyan,1,0
Adelynn,Adelyn,1,1
Adelynn,Adelyne,1,0
Adelynn,Adalyn,2,1
Adelynn,Adalyna,2,0
Adelynn,Adalyne,2,0
Adelynn,Adelain,2,0
Adelynn,Adelana,2,0
Adelynn,Adelane,2,0
Ademar,Adamar,1,0
Ademar,Ademard,1,0
Ademar,Ademir,1,1
Ademar,Adhemar,1,0
Ademar,Adhmar,1,0
Ademar,Admar,1,0
Ademar,Adomar,1,0
Ademar,Adener,2,0
Ademar,Adenor,2,0
Ademar,Admard,2,0
Ademir,Ademar,1,1
Ademir,Adamar,2,0
Ademir,Ademard,2,0
Ademir,Adener,2,0
Ademir,Adenor,2,0
Ademir,Adhemar,2,0
Ademir,Adhmar,2,0
Ademir,Admar,2,0
Ademir,Admer,2,0
Ademir,Admira,2,0
Aden,Adan,1,0
Aden,Adden,1,0
Aden,Adean,1,0
Aden,Adeen,1,0
Aden,Adem,1,0
Aden,Adena,1,0
Aden,Adene,1,0
Aden,Adin,1,0
Aden,Adon,1,0
Aden,Adyn,1,0
Adi,Aadi,1,0
Adi,Ad,1,0
Adi,Ada,1,0
Adi,Add,1,0
Adi,Addi,1,0
Adi,Ade,1,0
Adi,Adia,1,0
Adi,Adie,1,0
Adi,Adio,1,0
Adi,Ado,1,0
Adil,Adail,1,0
Adil,Adal,1,0
Adil,Adel,1,1
Adil,Adial,1,0
Adil,Adiel,1,0
Adil,Adila,1,0
Adil,Adile,1,0
Adil,Adl,1,0
Adil,Adol,1,0
Adil,Adyl,1,0
Adolf,Aadolf,1,0
Adolf,Adolfa,1,0
Adolf,Adolfe,1,0
Adolf,Adolff,1,0
Adolf,Adolfo,1,0
Adolf,Adolfs,1,0
Adolf,Adolp,1,0
Adolf,Adolpf,1,0
Adolf,Adolv,1,0
Adolf,Adoulf,1,0
Adolph,Addolph,1,0
Adolph,Adoloph,1,0
Adolph,Adolp,1,0
Adolph,Adolpf,1,0
Adolph,Adolpha,1,0
Adolph,Adolphe,1,0
Adolph,Adolphi,1,0
Adolph,Adolpho,1,0
Adolph,Adolphs,1,0
Adolph,Adolpi,1,0
Adolphus,Adelphus,1,0
Adolphus,Adlphus,1,0
Adolphus,Adolophus,1,0
Adolphus,Adolphas,1,0
Adolphus,Adolphes,1,0
Adolphus,Adolpheus,1,0
Adolphus,Adolphis,1,0
Adolphus,Adolphius,1,0
Adolphus,Adolphns,1,0
Adolphus,Adolphos,1,0
Adria,Adaria,1,0
Adria,Adoria,1,0
Adria,Adra,1,0
Adria,Adrea,1,0
Adria,Adri,1,0
