Original,Candidate,Edit_Distance,Is_Original_Synonym
Zarni,Zarna,1,-1
Zarni,Zarny,1,-1
Zarni,Czarna,2,-1
Zarni,Czarne,2,-1
Zarni,Szarne,2,-1
Zarni,Zarena,2,-1
Zarni,Zarina,2,-1
Zarni,Zern,2,-1
Zarni,Zerna,2,-1
Zarni,Zerne,2,-1
Zarny,Zarna,1,-1
Zarny,Zarni,1,-1
Zarny,Czarna,2,-1
Zarny,Czarne,2,-1
Zarny,Czerny,2,-1
Zarny,Sareny,2,-1
Zarny,Sarney,2,-1
Zarny,Serny,2,-1
Zarny,Szarne,2,-1
Zarny,Zarena,2,-1
Zaro,Saro,1,-1
Zaro,Zar,1,-1
Zaro,Zara,1,-1
Zaro,Zare,1,-1
Zaro,Zari,1,-1
Zaro,Zary,1,-1
Zaro,Zero,1,-1
Zaro,Zoro,1,-1
Zaro,Cero,2,-1
Zaro,Ciro,2,-1
Zarol,Zarel,1,-1
Zarol,Zirol,1,-1
Zarol,Saral,2,-1
Zarol,Sarel,2,-1
Zarol,Saril,2,-1
Zarol,Sarl,2,-1
Zarol,Sarrol,2,-1
Zarol,Srol,2,-1
Zarol,Zaraly,2,-1
Zarol,Zarela,2,-1
Zarotha,Sarotha,1,-1
Zarotha,Sarotha,1,-1
Zarotha,Saretha,2,-1
Zarotha,Saritha,2,-1
Zarotha,Sartha,2,-1
Zarotha,Zeritha,2,-1
Zarotha,Zuritha,2,-1
Zarotha,Saretha,2,-1
Zarotha,Saritha,2,-1
Zarotha,Sartha,2,-1
Zarrace,Zaras,3,-1
Zarrace,Circe,4,-1
Zarrace,Cyriaci,4,-1
Zarrace,Cyriacy,4,-1
Zarrace,Cyrice,4,-1
Zarrace,Saras,4,-1
Zarrace,Saraus,4,-1
Zarrace,Sarisse,4,-1
Zarrace,Sarris,4,-1
Zarrace,Sarrisa,4,-1
Zarrah,Sarrah,1,-1
Zarrah,Zarah,1,-1
Zarrah,Zareah,1,-1
Zarrah,Zariah,1,-1
Zarrah,Zarriah,1,-1
Zarrah,Zaurah,1,-1
Zarrah,Zerrah,1,-1
Zarrah,Zirrah,1,-1
Zarrah,Saarah,2,-1
Zarrah,Sairah,2,-1
Zarreefey,Sareefa,4,-1
Zarreefey,Zarrifa,4,-1
Zarreefey,Sarvey,5,-1
Zarreefey,Zarev,5,-1
Zarreefey,Zarif,5,-1
Zarreefey,Zarifa,5,-1
Zarreefey,Zariffa,5,-1
Zarreefey,Zerefah,5,-1
Zarreefey,Zerife,5,-1
Zarreefey,Cerrif,6,-1
Zarriah,Zariah,1,-1
Zarriah,Zarrah,1,-1
Zarriah,Zaruiah,1,-1
Zarriah,Zerriah,1,-1
Zarriah,Sariah,2,-1
Zarriah,Sarrah,2,-1
Zarriah,Serriah,2,-1
Zarriah,Zarah,2,-1
Zarriah,Zareah,2,-1
Zarriah,Zaurah,2,-1
Zarrifa,Zarifa,1,-1
Zarrifa,Xarifa,2,-1
Zarrifa,Zarif,2,-1
Zarrifa,Zariffa,2,-1
Zarrifa,Zerifa,2,-1
Zarrifa,Cerrif,3,-1
Zarrifa,Sareefa,3,-1
Zarrifa,Xariffa,3,-1
Zarrifa,Xarvia,3,-1
Zarrifa,Zarviah,3,-1
Zartar,Sardar,2,-1
Zartar,Sartor,2,-1
Zartar,Zorator,3,-1
Zartar,Sereter,4,-1
Zartar,Sortore,4,-1
Zartar,Searider,5,-1
Zartar,Sertrio,5,-1
Zartar,Sworder,5,-1
Zarubabel,Zarababel,1,-1
Zarubabel,Zerubabel,1,-1
Zarubabel,Zerobabel,2,-1
Zarubabel,Zerubabbel,2,-1
Zarubabel,Zerubabell,2,-1
Zarubabel,Zerubbabel,2,-1
Zarubabel,Zorababel,2,-1
Zarubabel,Zorobabel,2,-1
Zarubabel,Zerbabell,3,-1
Zarubabel,Zerobabael,3,-1
Zaruiah,Zariah,1,-1
Zaruiah,Zarriah,1,-1
Zaruiah,Zeruiah,1,-1
Zaruiah,Zuruiah,1,-1
Zaruiah,Sariah,2,-1
Zaruiah,Zarah,2,-1
Zaruiah,Zareah,2,-1
Zaruiah,Zarrah,2,-1
Zaruiah,Zaurah,2,-1
Zaruiah,Zereiah,2,-1
Zaruk,Sarok,2,-1
Zaruk,Zareck,2,-1
Zaruk,Zarka,2,-1
Zaruk,Zarko,2,-1
Zaruk,Zerk,2,-1
Zaruk,Zirk,2,-1
Zaruk,Zorukh,2,-1
Zaruk,Zurk,2,-1
Zaruk,Sarag,3,-1
Zaruk,Sarca,3,-1
Zarviah,Zerviah,1,-1
Zarviah,Zurviah,1,-1
Zarviah,Serviah,2,-1
Zarviah,Surviah,2,-1
Zarviah,Xarvia,2,-1
Zarviah,Zereviah,2,-1
Zarviah,Zeruviah,2,-1
Zarviah,Zervah,2,-1
Zarviah,Zervia,2,-1
Zarviah,Sarva,3,-1
Zary,Czary,1,-1
Zary,Sary,1,-1
Zary,Zar,1,-1
Zary,Zara,1,-1
Zary,Zare,1,-1
Zary,Zari,1,-1
Zary,Zaro,1,-1
Zary,Zeary,1,-1
Zary,Zery,1,-1
Zary,Zory,1,-1
Zarzenii,Sarcene,4,-1
Zarzenii,Sarasen,5,-1
Zarzenii,Sarasin,5,-1
Zarzenii,Sarazin,5,-1
Zarzenii,Sarazine,5,-1
Zarzenii,Sarson,5,-1
Zarzenii,Sersen,5,-1
Zarzenii,Cirson,6,-1
Zarzenii,Sarahzine,6,-1
Zarzenii,Sarasana,6,-1
Zaskia,Saskia,1,-1
Zaskia,Ciskia,2,-1
Zaskia,Saska,2,-1
Zaskia,Ziska,2,-1
Zaskia,Zyska,2,-1
Zaskia,Saske,3,-1
Zaskia,Siska,3,-1
Zaskia,Soska,3,-1
Zaskia,Suska,3,-1
Zaskia,Szoski,3,-1
Zasper,Czcibor,5,-1
Zasper,Susbury,5,-1
Zasper,Seisaburo,7,-1
Zastrow,Cestaro,4,-1
Zastrow,Zester,4,-1
Zastrow,Zuster,4,-1
Zastrow,Zystera,4,-1
Zastrow,Cester,5,-1
Zastrow,Sester,5,-1
Zastrow,Sister,5,-1
Zastrow,Soster,5,-1
Zastrow,Suster,5,-1
Zastrow,Syster,5,-1
Zata,Zada,1,-1
Zata,Zatta,1,-1
Zata,Zeta,1,-1
Zata,Ziata,1,-1
Zata,Zita,1,-1
Zata,Zota,1,-1
Zata,Zyta,1,-1
Zata,Ceta,2,-1
Zata,Cita,2,-1
Zata,Sada,2,-1
Zatella,Zetella,1,-1
Zatella,Zitella,1,-1
Zatella,Sadella,2,-1
Zatella,Satilla,2,-1
Zatella,Setella,2,-1
Zatella,Stella,2,-1
Zatella,Zadell,2,-1
Zatella,Zadelle,2,-1
Zatella,Zatill,2,-1
Zatella,Zedella,2,-1
Zatha,Zetha,1,-1
Zatha,Zitha,1,-1
Zatha,Zotha,1,-1
Zatha,Zetha,1,-1
Zatha,Zitha,1,-1
Zatha,Zotha,1,-1
Zatha,Cetha,2,-1
Zatha,Citha,2,-1
Zatha,Cyatha,2,-1
Zatha,Cytha,2,-1
Zathary,Zithiry,2,-1
Zathary,Zithiry,2,-1
Zathary,Zeather,3,-1
Zathary,Zethra,3,-1
Zathary,Zother,3,-1
Zathary,Zeather,3,-1
Zathary,Zethra,3,-1
Zathary,Zother,3,-1
Zathary,Cethra,4,-1
Zathary,Cethri,4,-1
Zathoe,Zatha,2,-1
Zathoe,Zethie,2,-1
Zathoe,Zithe,2,-1
Zathoe,Zatha,2,-1
Zathoe,Zethie,2,-1
Zathoe,Zithe,2,-1
Zathoe,Sathi,3,-1
Zathoe,Sethie,3,-1
Zathoe,Setho,3,-1
Zathoe,Sithe,3,-1
Zatino,Satina,2,-1
Zatino,Zatyna,2,-1
Zatino,Zetina,2,-1
Zatino,Sadina,3,-1
Zatino,Satona,3,-1
Zatino,Setina,3,-1
Zatino,Sitina,3,-1
Zatino,Sotano,3,-1
Zatino,Stin,3,-1
Zatino,Stina,3,-1
Zatique,Zadique,1,-1
Zatique,Zoatique,1,-1
Zatique,Zotique,1,-1
Zatique,Saddique,3,-1
Zatique,Sadiq,4,-1
Zatique,Sadiqa,4,-1
Zatique,Siddique,4,-1
Zatique,Zadiac,4,-1
Zatique,Zadic,4,-1
Zatique,Zadig,4,-1
Zatta,Zaitta,1,-1
Zatta,Zata,1,-1
Zatta,Zattu,1,-1
Zatta,Zetta,1,-1
Zatta,Zitta,1,-1
Zatta,Ciatta,2,-1
Zatta,Citta,2,-1
Zatta,Satto,2,-1
Zatta,Satya,2,-1
Zatta,Sauta,2,-1
Zattie,Sattie,1,-1
Zattie,Zettie,1,-1
Zattie,Cittie,2,-1
Zattie,Satie,2,-1
Zattie,Seattie,2,-1
Zattie,Settie,2,-1
Zattie,Suttie,2,-1
Zattie,Zaddie,2,-1
Zattie,Zadie,2,-1
Zattie,Zaidie,2,-1
Zattoo,Satto,2,-1
Zattoo,Zatta,2,-1
Zattoo,Zattie,2,-1
Zattoo,Zattu,2,-1
Zattoo,Saito,3,-1
Zattoo,Saitou,3,-1
Zattoo,Sato,3,-1
Zattoo,Sattei,3,-1
Zattoo,Sattie,3,-1
Zattoo,Zaddo,3,-1
Zattu,Zatta,1,-1
Zattu,Satto,2,-1
Zattu,Zaitta,2,-1
Zattu,Zata,2,-1
Zattu,Zattie,2,-1
Zattu,Zattoo,2,-1
Zattu,Zetta,2,-1
Zattu,Zette,2,-1
Zattu,Zetty,2,-1
Zattu,Zitta,2,-1
Zatyna,Satina,2,-1
Zatyna,Satona,2,-1
Zatyna,Zatino,2,-1
Zatyna,Zetina,2,-1
Zatyna,Sadhna,3,-1
Zatyna,Sadina,3,-1
Zatyna,Sadona,3,-1
Zatyna,Satanna,3,-1
Zatyna,Setina,3,-1
Zatyna,Sitina,3,-1
Zaura,Saura,1,-1
Zaura,Zahra,1,-1
Zaura,Zaira,1,-1
Zaura,Zara,1,-1
Zaura,Zaurah,1,-1
Zaura,Zayra,1,-1
Zaura,Zura,1,-1
Zaura,Saara,2,-1
Zaura,Saera,2,-1
Zaura,Sahra,2,-1
Zaurah,Zarah,1,-1
Zaurah,Zarrah,1,-1
Zaurah,Zaura,1,-1
Zaurah,Zurah,1,-1
Zaurah,Saarah,2,-1
Zaurah,Sairah,2,-1
Zaurah,Sarah,2,-1
Zaurah,Sarrah,2,-1
Zaurah,Saura,2,-1
Zaurah,Surah,2,-1
Zavada,Savada,1,-1
Zavada,Savata,2,-1
Zavada,Suvada,2,-1
Zavada,Saveta,3,-1
Zavada,Savid,3,-1
Zavada,Savita,3,-1
Zavada,Sivda,3,-1
Zavada,Suvad,3,-1
Zavada,Cevat,4,-1
Zavada,Cevedia,4,-1
Zavais,Zavia,2,-1
Zavais,Sava,3,-1
Zavais,Saveio,3,-1
Zavais,Savi,3,-1
Zavais,Savia,3,-1
Zavais,Savie,3,-1
Zavais,Savio,3,-1
Zavais,Savoie,3,-1
Zavais,Sivai,3,-1
Zavais,Xava,3,-1
Zaven,Saven,1,-1
Zaven,Cyven,2,-1
Zaven,Savan,2,-1
Zaven,Savena,2,-1
Zaven,Savin,2,-1
Zaven,Seven,2,-1
Zaven,Sven,2,-1
Zaven,Zavion,2,-1
Zaven,Zevin,2,-1
Zaven,Zivan,2,-1
Zavenda,Svend,3,-1
Zavenda,Svende,3,-1
Zavenda,Svendh,3,-1
Zavenda,Sventa,3,-1
Zavenda,Savant,4,-1
Zavenda,Sphendu,4,-1
Zavenda,Svanta,4,-1
Zavenda,Zephnta,4,-1
Zavenda,Svante,5,-1
Zavenda,Svantti,6,-1
Zaver,Saver,1,-1
Zaver,Xaver,1,-1
Zaver,Zafer,1,-1
Zaver,Zavera,1,-1
Zaver,Savar,2,-1
Zaver,Savera,2,-1
Zaver,Savero,2,-1
Zaver,Savery,2,-1
Zaver,Saveur,2,-1
Zaver,Savr,2,-1
Zavera,Savera,1,-1
Zavera,Xavera,1,-1
Zavera,Zaver,1,-1
Zavera,Zaveria,1,-1
Zavera,Cevera,2,-1
Zavera,Savara,2,-1
Zavera,Saver,2,-1
Zavera,Saveria,2,-1
Zavera,Savero,2,-1
Zavera,Savery,2,-1
Zaverba,Zaverbai,1,-1
Zaverba,Zafaryab,4,-1
Zaverba,Zafariyab,5,-1
Zaverbai,Zaverba,1,-1
Zaverbai,Zafaryab,4,-1
Zaverbai,Zafariyab,5,-1
Zaveria,Saveria,1,-1
Zaveria,Xaveria,1,-1
Zaveria,Zavera,1,-1
Zaveria,Zaverio,1,-1
Zaveria,Ceveria,2,-1
Zaveria,Savaria,2,-1
Zaveria,Savera,2,-1
Zaveria,Saverio,2,-1
Zaveria,Severia,2,-1
Zaveria,Xavera,2,-1
Zaverio,Saverio,1,-1
Zaverio,Zaveria,1,-1
Zaverio,Savario,2,-1
Zaverio,Saveria,2,-1
Zaverio,Savero,2,-1
Zaverio,Severio,2,-1
Zaverio,Soverio,2,-1
Zaverio,Xaveri,2,-1
Zaverio,Xaveria,2,-1
Zaverio,Xaverii,2,-1
Zaverius,Saverius,1,-1
Zaverius,Xaverius,1,-1
Zaverius,Severius,2,-1
Zaverius,Xaverias,2,-1
Zaverius,Xaverus,2,-1
Zaverius,Xavierius,2,-1
Zaverius,Xavirius,2,-1
Zaverius,Xeverius,2,-1
Zaverius,Severious,3,-1
Zaverius,Severis,3,-1
Zavia,Savia,1,0
Zavia,Xavia,1,1
Zavia,Zafia,1,0
Zavia,Zaviah,1,0
Zavia,Zevia,1,0
Zavia,Zivia,1,0
Zavia,Cevia,2,0
Zavia,Civia,2,0
Zavia,Cyvia,2,0
Zavia,Safia,2,0
Zaviah,Saviah,1,-1
Zaviah,Zavia,1,-1
Zaviah,Zeviah,1,-1
Zaviah,Zoviah,1,-1
Zaviah,Zuviah,1,-1
Zaviah,Savia,2,-1
