Original,Candidate,Edit_Distance,Is_Original_Synonym
Zarm,Zearm,1,-1
Zarm,Zerma,2,-1
Zarm,Zorum,2,-1
Zarm,Zerema,3,-1
Zarm,Zourema,4,-1
Zarman,Zerman,1,-1
Zarmor,Zermira,3,-1
Zarna,Zarena,1,-1
Zarna,Zarina,1,-1
Zarna,Zarni,1,-1
Zarna,Zerna,1,-1
Zarna,Zerena,2,-1
Zarna,Zerina,2,-1
Zarna,Zern,2,-1
Zarna,Zerne,2,-1
Zarna,Zernia,2,-1
Zarna,Zirena,2,-1
Zarni,Zarna,1,-1
Zarni,Zarena,2,-1
Zarni,Zarina,2,-1
Zarni,Zern,2,-1
Zarni,Zerna,2,-1
Zarni,Zerne,2,-1
Zarni,Zernia,2,-1
Zarni,Zernie,2,-1
Zarni,Zareen,3,-1
Zarni,Zeran,3,-1
Zaro,Zar,1,-1
Zaro,Zara,1,-1
Zaro,Zare,1,-1
Zaro,Zari,1,-1
Zaro,Zero,1,-1
Zaro,Zoro,1,-1
Zaro,Zaira,2,-1
Zaro,Zaire,2,-1
Zaro,Zarie,2,-1
Zaro,Zaura,2,-1
Zarol,Zarel,1,-1
Zarol,Zirol,1,-1
Zarol,Zarela,2,-1
Zarol,Zarial,2,-1
Zarol,Zearl,2,-1
Zarol,Zeral,2,-1
Zarol,Zerl,2,-1
Zarol,Zirel,2,-1
Zarol,Zirl,2,-1
Zarol,Zoral,2,-1
Zarotha,Zeritha,2,-1
Zarotha,Zuritha,2,-1
Zarotha,Zeruith,4,-1
Zarrah,Zarriah,1,-1
Zarrah,Zerrah,1,-1
Zarrah,Zirrah,1,-1
Zarrah,Zerriah,2,-1
Zarrah,Zerurah,2,-1
Zarriah,Zarrah,1,-1
Zarriah,Zerriah,1,-1
Zarriah,Zerrah,2,-1
Zarriah,Zirrah,2,-1
Zarriah,Zerurah,3,-1
Zartar,Zorator,3,-1
Zarubabel,Zarababel,1,-1
Zarubabel,Zerubabel,1,-1
Zarubabel,Zerobabel,2,-1
Zarubabel,Zorababel,2,-1
Zarubabel,Zorobabel,2,-1
Zarubabel,Zerobabael,3,-1
Zarubabel,Zerabebal,4,-1
Zarubabel,Zorabable,4,-1
Zarubabel,Zorbable,4,-1
Zarubabel,Zorobable,4,-1
Zaruiah,Zariah,1,-1
Zaruiah,Zeruiah,1,-1
Zaruiah,Zuruiah,1,-1
Zaruiah,Zarah,2,-1
Zaruiah,Zareah,2,-1
Zaruiah,Zaurah,2,-1
Zaruiah,Zereiah,2,-1
Zaruiah,Zeriah,2,-1
Zaruiah,Zeruah,2,-1
Zaruiah,Zoriah,2,-1
Zaruk,Zarka,2,-1
Zaruk,Zarko,2,-1
Zaruk,Zerk,2,-1
Zaruk,Zirk,2,-1
Zaruk,Zurk,2,-1
Zaruk,Zerke,3,-1
Zaruk,Ziriak,3,-1
Zaruk,Zirke,3,-1
Zaruk,Ziroko,3,-1
Zaruk,Zorka,3,-1
Zarviah,Zerviah,1,-1
Zarviah,Zurviah,1,-1
Zarviah,Zereviah,2,-1
Zarviah,Zeruviah,2,-1
Zarviah,Zervah,2,-1
Zary,Zeary,1,-1
Zary,Zery,1,-1
Zary,Zory,1,-1
Zary,Zury,1,-1
Zary,Zoury,2,-1
Zary,Zeruey,3,-1
Zaskia,Ziska,2,-1
Zaskia,Ziske,3,-1
Zata,Zeta,1,-1
Zata,Ziata,1,-1
Zata,Zita,1,-1
Zata,Zota,1,-1
Zata,Zeeta,2,-1
Zata,Zeita,2,-1
Zata,Zeota,2,-1
Zata,Zet,2,-1
Zata,Zetia,2,-1
Zata,Zeto,2,-1
Zatella,Zetella,1,-1
Zatella,Zitella,1,-1
Zatella,Zatill,2,-1
Zatella,Zitelle,2,-1
Zatella,Zitilla,2,-1
Zatha,Zetha,1,-1
Zatha,Zitha,1,-1
Zatha,Zotha,1,-1
Zatha,Zathoe,2,-1
Zatha,Zeetha,2,-1
Zatha,Zeth,2,-1
Zatha,Zithe,2,-1
Zatha,Zoath,2,-1
Zatha,Zootha,2,-1
Zatha,Zethie,3,-1
Zathary,Zithiry,2,-1
Zathoe,Zatha,2,-1
Zathoe,Zethie,2,-1
Zathoe,Zithe,2,-1
Zathoe,Zeth,3,-1
Zathoe,Zetha,3,-1
