Original,Candidate,Edit_Distance,Is_Original_Synonym
Zarm,Zearm,1,-1
Zarm,Zarna,2,-1
Zarm,Zarni,2,-1
Zarm,Zerma,2,-1
Zarm,Zern,2,-1
Zarm,Zerna,3,-1
Zarm,Zerne,3,-1
Zarm,Zernah,4,-1
Zarm,Zernia,4,-1
Zarm,Zerniah,5,-1
Zarman,Zerman,1,-1
Zarmor,Zermira,3,-1
Zarmor,Zurner,3,-1
Zarna,Zarni,1,-1
Zarna,Zerna,1,-1
Zarna,Zarm,2,-1
Zarna,Zerma,2,-1
Zarna,Zern,2,-1
Zarna,Zernah,2,-1
Zarna,Zerne,2,-1
Zarna,Zernia,2,-1
Zarna,Zearm,3,-1
Zarna,Zerniah,3,-1
Zarni,Zarna,1,-1
Zarni,Zarm,2,-1
Zarni,Zern,2,-1
Zarni,Zerna,2,-1
Zarni,Zerne,2,-1
Zarni,Zernia,2,-1
Zarni,Zearm,3,-1
Zarni,Zerma,3,-1
Zarni,Zernah,3,-1
Zarni,Zerniah,3,-1
Zarny,Zernie,3,-1
Zaro,Zar,1,-1
Zaro,Zara,1,-1
Zaro,Zare,1,-1
Zaro,Zari,1,-1
Zaro,Zero,1,-1
Zaro,Zoro,1,-1
Zaro,Zahra,2,-1
Zaro,Zaira,2,-1
Zaro,Zaire,2,-1
Zaro,Zarah,2,-1
Zarol,Zarel,1,-1
Zarol,Zirol,1,-1
Zarol,Zarela,2,-1
Zarol,Zarial,2,-1
Zarol,Zeral,2,-1
Zarol,Zirel,2,-1
Zarol,Zoral,2,-1
Zarol,Zorel,2,-1
Zarol,Zurel,2,-1
Zarol,Zarilla,3,-1
Zarotha,Zareta,2,-1
Zarotha,Zarita,2,-1
Zarotha,Zeritha,2,-1
Zarotha,Zuritha,2,-1
Zarotha,Zeratta,3,-1
Zarotha,Zereta,3,-1
Zarotha,Zerita,3,-1
Zarotha,Zeritta,3,-1
Zarotha,Zoreta,3,-1
Zarotha,Zoretta,3,-1
Zarrace,Zarach,2,-1
Zarrace,Zareck,3,-1
Zarrace,Zerach,3,-1
Zarrace,Zerreck,3,-1
Zarrace,Zorach,3,-1
Zarrace,Zurach,3,-1
Zarrace,Zaruk,4,-1
Zarrace,Ziriak,4,-1
Zarrace,Zirrakus,4,-1
Zarrace,Zorech,4,-1
Zarrah,Zarah,1,-1
Zarrah,Zareah,1,-1
Zarrah,Zariah,1,-1
Zarrah,Zarriah,1,-1
Zarrah,Zaurah,1,-1
Zarrah,Zerrah,1,-1
Zarrah,Zirrah,1,-1
Zarrah,Zahra,2,-1
Zarrah,Zaira,2,-1
Zarrah,Zara,2,-1
Zarriah,Zariah,1,-1
Zarriah,Zarrah,1,-1
Zarriah,Zaruiah,1,-1
Zarriah,Zerriah,1,-1
Zarriah,Zarah,2,-1
Zarriah,Zareah,2,-1
Zarriah,Zaurah,2,-1
Zarriah,Zereiah,2,-1
Zarriah,Zeriah,2,-1
Zarriah,Zerrah,2,-1
Zarrifa,Zarifa,1,-1
Zarrifa,Zarif,2,-1
Zarrifa,Zariffa,2,-1
Zarrifa,Zerifa,2,-1
Zarrifa,Zerife,3,-1
Zarrifa,Zarev,4,-1
Zarrifa,Zeraf,4,-1
Zarrifa,Zerafia,4,-1
Zarrifa,Zerefah,4,-1
Zarrifa,Zeraphia,5,-1
Zarubabel,Zarababel,1,-1
Zarubabel,Zerubabel,1,-1
Zarubabel,Zerobabel,2,-1
Zarubabel,Zerubabbel,2,-1
Zarubabel,Zerubabell,2,-1
Zarubabel,Zerubbabel,2,-1
Zarubabel,Zorababel,2,-1
Zarubabel,Zorobabel,2,-1
Zarubabel,Zerobabael,3,-1
Zarubabel,Zerrubbabel,3,-1
Zaruiah,Zariah,1,-1
Zaruiah,Zarriah,1,-1
Zaruiah,Zeruiah,1,-1
Zaruiah,Zuruiah,1,-1
Zaruiah,Zarah,2,-1
Zaruiah,Zareah,2,-1
Zaruiah,Zarrah,2,-1
Zaruiah,Zaurah,2,-1
Zaruiah,Zereiah,2,-1
Zaruiah,Zeriah,2,-1
Zaruk,Zareck,2,-1
Zaruk,Zarach,3,-1
Zaruk,Ziriak,3,-1
Zaruk,Ziroko,3,-1
Zaruk,Zorick,3,-1
Zaruk,Zoruch,3,-1
Zaruk,Zureka,3,-1
Zaruk,Zarrace,4,-1
Zaruk,Zerach,4,-1
Zaruk,Zerreck,4,-1
Zarviah,Zerviah,1,-1
Zarviah,Zurviah,1,-1
Zarviah,Zervah,2,-1
Zarviah,Zervia,2,-1
Zarviah,Zervias,2,-1
Zarviah,Zerva,3,-1
Zarviah,Zervas,3,-1
Zary,Zeary,1,-1
Zary,Zery,1,-1
Zary,Zory,1,-1
Zary,Zury,1,-1
Zary,Zarie,2,-1
Zary,Zerry,2,-1
Zary,Zoury,2,-1
Zary,Zeruey,3,-1
Zary,Zirie,3,-1
Zary,Zurie,3,-1
Zarzenii,Zierson,6,-1
Zaskia,Ziska,2,-1
Zaskia,Ziske,3,-1
Zaskia,Zuzka,3,-1
Zata,Zatha,1,-1
Zata,Zatta,1,-1
Zata,Zeta,1,-1
Zata,Ziata,1,-1
Zata,Zita,1,-1
Zata,Zota,1,-1
